trade_id,symbol,direction,entry_time,entry_price,stop_loss,take_profit,exit_time,exit_price,exit_reason,live_result_r,live_profit_usd,backtest_result_r,backtest_profit_usd,difference_usd
74,SPX500_USD,bullish,2023-03-17 00:00:00+00:00,3957.050048828125,3778.887496586035,4063.947580173379,2023-04-05 00:00:00+00:00,,backtest_fallback,1.49,581.8,1.49,581.8,0.0
90,NZD_CAD,bullish,2023-03-26 21:00:00+00:00,0.8466895999999999,0.8340466631134545,0.8542753621319271,2023-04-05 02:00:00+00:00,0.8542753621319271,tp,0.5999999999999965,206.9999999999987,-1.02,-395.98,602.9799999999987
96,AUD_NZD,bullish,2023-03-28 21:00:00+00:00,1.07386,1.064062076264047,1.079738754241572,2023-04-05 02:00:00+00:00,1.064062076264047,sl,-1.0,-417.00000000000006,-1.08,-419.85,2.849999999999966
101,AUD_NZD,bullish,2023-03-29 21:00:00+00:00,1.07576254,1.0639363428861135,1.0828582582683317,2023-04-05 02:00:00+00:00,1.0639363428861135,sl,-1.0,-417.00000000000006,-1.06,-414.73,-2.2700000000000387
114,AUD_NZD,bearish,2023-04-04 21:00:00+00:00,1.07237964,1.0822009540707638,1.066486851557542,2023-04-05 02:00:00+00:00,1.066486851557542,tp,0.5999999999999774,206.99999999999125,-1.03,-402.62,609.6199999999913
115,GBP_NZD,bullish,2023-04-05 21:00:00+00:00,1.97908762,1.952049945071732,1.995310224956961,2023-04-07 12:00:00+00:00,1.995310224956961,tp,0.6000000000000016,207.00000000000068,1.47,572.62,-365.6199999999993
119,EUR_USD,bullish,2023-04-09 21:00:00+00:00,1.08349776,1.0712705879496625,1.0908340632302025,2023-04-09 22:00:00+00:00,1.0908340632302025,tp,0.6,207.00000000000003,1.43,559.52,-352.52
117,BTC_USD,bearish,2023-04-07 00:00:00+00:00,27925.859375,29650.292451792386,26891.199528924568,2023-04-10 00:00:00+00:00,,backtest_fallback,-1.0,-391.7,-1.0,-391.7,0.0
118,BTC_USD,bearish,2023-04-08 00:00:00+00:00,27947.794921875,29625.138749878643,26941.388625072814,2023-04-10 00:00:00+00:00,,backtest_fallback,-1.0,-391.74,-1.0,-391.74,0.0
124,AUD_NZD,bearish,2023-04-10 21:00:00+00:00,1.07237964,1.0821578859228522,1.0665126924462889,2023-04-10 21:00:00+00:00,1.0665126924462889,tp,0.5999999999999909,206.99999999999648,-1.08,-419.91,626.9099999999964
127,GBP_NZD,bullish,2023-04-12 21:00:00+00:00,1.9846228,1.963015960879462,1.997586903472323,2023-04-12 21:00:00+00:00,1.997586903472323,tp,0.6000000000000164,207.00000000000642,1.46,569.9,-362.89999999999355
130,AUD_CAD,bearish,2023-04-12 21:00:00+00:00,0.90657652,0.9160920052320052,0.9008672288607968,2023-04-12 21:00:00+00:00,0.9008672288607968,tp,0.6000000000000046,207.00000000000185,1.42,552.7,-345.6999999999982
131,AUD_CAD,bearish,2023-04-12 21:00:00+00:00,0.90576362,0.915567576286862,0.8998812462278828,2023-04-12 21:00:00+00:00,0.8998812462278828,tp,0.5999999999999978,206.99999999999915,1.42,553.61,-346.61000000000087
83,EUR_JPY,bullish,2023-03-21 21:00:00+00:00,143.533402,138.0793056276947,146.80585982338317,2023-04-13 09:00:00+00:00,146.80585982338317,tp,0.6000000000000011,207.00000000000045,1.48,578.08,-371.0799999999996
116,GBP_CHF,bearish,2023-04-06 21:00:00+00:00,1.12422,1.144840053040453,1.1118479681757285,2023-04-13 12:00:00+00:00,1.1118479681757285,tp,0.5999999999999849,206.99999999999415,-0.99,-387.03,594.0299999999941
102,EUR_CAD,bullish,2023-03-29 21:00:00+00:00,1.468661,1.4495054242578382,1.480154345445297,2023-04-13 13:00:00+00:00,1.480154345445297,tp,0.5999999999999976,206.99999999999912,2.16,843.12,-636.1200000000009
123,GBP_CHF,bearish,2023-04-10 21:00:00+00:00,1.12201386,1.1400959497237158,1.1111646061657705,2023-04-13 13:00:00+00:00,1.1111646061657705,tp,0.6000000000000049,207.00000000000193,-1.0,-389.02,596.0200000000019
129,USD_CAD,bearish,2023-04-12 21:00:00+00:00,1.3437244000000002,1.3586442413648907,1.3347724951810658,2023-04-13 15:00:00+00:00,1.3347724951810658,tp,0.600000000000003,207.0000000000012,-1.01,-392.44,599.4400000000012
135,GBP_USD,bullish,2023-04-13 21:00:00+00:00,1.24542166,1.230513072134794,1.2543668127191236,2023-04-14 02:00:00+00:00,1.2543668127191236,tp,0.599999999999997,206.99999999999886,1.45,563.82,-356.8200000000012
